date,open,high,low,close,volume,number_of_trades
8/7/2022,0.729,0.765,0.712,0.744,1919711.86,7050
8/8/2022,0.744,0.844,0.741,0.764,3882160.05,14117
8/9/2022,0.766,0.768,0.69,0.706,3274866.73,10726
8/10/2022,0.707,0.777,0.675,0.725,4051516.02,14952
8/11/2022,0.725,0.759,0.695,0.705,3001728.81,11282
8/12/2022,0.707,0.731,0.692,0.729,1688761.84,7657
8/13/2022,0.729,0.799,0.716,0.792,5429617.42,21783
8/14/2022,0.792,0.798,0.719,0.722,4282919.87,12172
8/15/2022,0.722,0.743,0.676,0.688,2794683.49,11015
8/16/2022,0.688,0.701,0.655,0.668,1935791.48,7148
8/17/2022,0.668,0.711,0.625,0.641,3758555.46,11818
8/18/2022,0.642,0.66,0.604,0.611,1959516.39,7335
8/19/2022,0.611,0.611,0.544,0.553,2720652.85,10489
8/20/2022,0.553,0.572,0.528,0.545,1241080.79,4855
8/21/2022,0.545,0.697,0.543,0.606,12957291.19,44259
8/22/2022,0.606,0.648,0.588,0.611,5814159.79,14778
8/23/2022,0.612,0.62,0.581,0.603,2577509.6,7613
8/24/2022,0.604,0.624,0.569,0.58,2597825.55,9031
8/25/2022,0.58,0.601,0.57,0.574,1847062.6,5778
8/26/2022,0.574,0.584,0.5,0.515,4066808.11,12465
8/27/2022,0.515,0.58,0.494,0.517,5031856.45,15847
8/28/2022,0.517,0.578,0.503,0.506,5412976.97,16387
8/29/2022,0.507,0.559,0.502,0.545,4311115.81,12566
8/30/2022,0.544,0.55,0.505,0.523,2268849.3,7150
8/31/2022,0.524,0.544,0.511,0.513,1700600.05,6556
9/1/2022,0.514,0.526,0.499,0.524,1049569.28,3902
9/2/2022,0.524,0.546,0.508,0.52,2362638.05,5755
9/3/2022,0.52,0.522,0.5,0.51,735191.85,2116
9/4/2022,0.51,0.521,0.496,0.517,1170861.65,3131
9/5/2022,0.517,0.522,0.474,0.5,3091546.21,7995
9/6/2022,0.5,0.51,0.466,0.47,3058649.67,7822
9/7/2022,0.469,0.522,0.458,0.507,4658200.62,11028
9/8/2022,0.508,0.697,0.49,0.551,13063378.82,36461
9/9/2022,0.551,0.622,0.533,0.566,4868840.92,15050
9/10/2022,0.565,0.645,0.557,0.581,6711886.71,19128
9/11/2022,0.582,0.605,0.55,0.564,3211234.41,9249
9/12/2022,0.563,0.599,0.535,0.569,3139495.03,9567
9/13/2022,0.57,0.58,0.506,0.508,2986178.56,9069
9/14/2022,0.508,0.533,0.502,0.515,2607519.8,8229
9/15/2022,0.514,0.52,0.486,0.5,1949793.38,6717
9/16/2022,0.5,0.501,0.416,0.464,9897587.59,29155
9/17/2022,0.463,0.524,0.455,0.483,5324235.43,15061
9/18/2022,0.483,0.485,0.428,0.437,2439641.9,6287
9/19/2022,0.437,0.481,0.427,0.45,4945951.99,13025
9/20/2022,0.451,0.503,0.443,0.461,6849588.1,17682
9/21/2022,0.461,0.49,0.443,0.458,5911712.9,13441
9/22/2022,0.459,0.48,0.457,0.473,1754658.21,4771
9/23/2022,0.474,0.491,0.461,0.48,2463141.65,6579
9/24/2022,0.48,0.484,0.453,0.457,1519603.73,3489
9/25/2022,0.457,0.48,0.457,0.461,1089407.84,2996
9/26/2022,0.461,0.498,0.456,0.486,2630034.75,7714
9/27/2022,0.486,0.502,0.47,0.477,2336607.26,6740
9/28/2022,0.477,0.48,0.457,0.473,1315355.4,4573
9/29/2022,0.474,0.478,0.458,0.467,1016678.79,4419
9/30/2022,0.467,0.473,0.454,0.461,1644275.03,5265
10/1/2022,0.461,0.466,0.453,0.46,445347.21,2474
10/2/2022,0.46,0.469,0.447,0.451,742808.39,3575
10/3/2022,0.451,0.46,0.444,0.458,1484099.02,4200
10/4/2022,0.458,0.588,0.454,0.515,35925476.06,62234
10/5/2022,0.514,0.539,0.484,0.491,8653798.78,19486
10/6/2022,0.491,0.503,0.476,0.478,2310449.3,6352
10/7/2022,0.478,0.483,0.463,0.47,1517414.17,5181
10/8/2022,0.469,0.47,0.449,0.455,1032744.19,5199
10/9/2022,0.455,0.487,0.454,0.466,2817459.21,9814
10/10/2022,0.466,0.468,0.449,0.449,1960409.04,5256
10/11/2022,0.449,0.449,0.422,0.423,2531136.41,7207
10/12/2022,0.422,0.429,0.411,0.415,1714957.04,4823
10/13/2022,0.416,0.423,0.37,0.41,4091192.55,9648
10/14/2022,0.411,0.428,0.396,0.4,2520774.51,6600
10/15/2022,0.4,0.437,0.391,0.413,5318639.05,10871
10/16/2022,0.414,0.479,0.413,0.434,8595465.74,20286
10/17/2022,0.434,0.442,0.42,0.426,2233366.43,4977
10/18/2022,0.427,0.432,0.409,0.424,1745387.57,5355
10/19/2022,0.425,0.457,0.414,0.424,4579607.87,11325
10/20/2022,0.425,0.46,0.417,0.421,6536158.55,14374
10/21/2022,0.421,0.438,0.403,0.435,2801069.61,6369
10/22/2022,0.435,0.527,0.434,0.45,10024358.45,25568
10/23/2022,0.451,0.507,0.449,0.472,7946574.05,16710
10/24/2022,0.472,0.535,0.472,0.514,12178845.43,33525
10/25/2022,0.515,0.542,0.502,0.529,6007796.03,13510
10/26/2022,0.529,0.557,0.52,0.532,3521510.5,8243
10/27/2022,0.532,0.539,0.49,0.505,2412795.41,7042
10/28/2022,0.505,0.563,0.501,0.547,3459799.23,9970
10/29/2022,0.548,0.565,0.535,0.546,2699070.13,8941
10/30/2022,0.547,0.576,0.536,0.57,3562881.53,10427
10/31/2022,0.571,0.624,0.567,0.608,6312442.33,20472
